creative_id,creative_name,tags,country,ad_network,os,campaign,ad_group,ipm,ctr,spend,impressions,clicks,cpm,cost_per_click,cost_per_install,installs
1,Creative 1,"concept,meta",IN,meta,Android,App promotion campaign - New Creatives,New Creatives,2.70011323055483,0.844874,7.01,11481,97,0.610574,0.072268,0.2261290322580645,31
2,Creative 2,"audio,google",IN,meta,Android,App promotion campaign - New Creatives,New Creatives,1.8835616438356164,0.770548,2.95,5840,45,0.505137,0.065556,0.2681818181818182,11
3,Creative 3,"video,tiktok",IN,meta,iOS,App promotion campaign - OG Creatives,OG Creatives – Revised,1.603750308413521,0.826548,5.05,8106,67,0.622995,0.075373,0.3884615384615384,13
4,Creative 4,"animation,snapchat",IN,meta,iOS,App promotion campaign - New Creatives,New Creatives,0.6657789613848203,0.7323570000000001,0.75,1502,11,0.499334,0.068182,0.75,1
5,Creative 5,"story,unity",IN,meta,iOS,App promotion campaign - OG Creatives,OG Creatives – Revised,0.6373486297004461,0.478011,2.85,6276,30,0.454111,0.095,0.7125,4
6,Creative 6,"concept,meta",IN,meta,iOS,App promotion campaign - OG Creatives,OG Creatives – Revised,0.4719207173194903,0.589901,1.77,4238,25,0.41765,0.0708,0.885,2
7,Creative 7,"audio,google",IN,meta,iOS,Test for Daga: boosting,Partnership,0.4719207173194903,0.589901,1.77,4238,25,0.41765,0.0708,0.885,2
8,Creative 8,"video,tiktok",IN,meta,iOS,App promotion campaign - New Creatives,New Creatives,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
9,Creative 9,"animation,snapchat",IN,meta,iOS,App promotion campaign - OG Creatives,OG Creatives,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
10,Creative 10,"story,unity",IN,meta,Android,App promotion campaign - OG Creatives,OG Creatives,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
11,Creative 11,"concept,meta",IN,meta,Android,App promotion campaign - OG Creatives,OG Creatives,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
12,Creative 12,"audio,google",IN,meta,Android,App promotion campaign - OG Creatives,OG Creatives,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
13,Creative 13,"video,tiktok",IN,meta,Android,App promotion campaign - OG Creatives,OG Creatives – Revised,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
14,Creative 14,"animation,snapchat",IN,meta,Android,App promotion campaign - New Creatives,New Creatives,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
15,Creative 15,"story,unity",ID,meta,Android,Bubblewise CPI Test Campaign,Bubblewise CPI Test Ad Set,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
16,Creative 16,"concept,meta",IN,meta,iOS,Bubblewise CPI Test Campaign,Bubblewise CPI Test Ad Set,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
17,Creative 17,"audio,google",BR,meta,iOS,Bubblewise CPI Test Campaign,Bubblewise CPI Test Ad Set,1.0,0.847437,145.0,42500,325,2.85,0.33,4.5,33
18,Creative 18,"concept,meta",US,meta,iOS,Spring Promo,Group A,1.2,0.8,150.0,50000,400,3.0,0.375,5.0,30
19,Creative 19,"audio,google",UK,google,Android,Summer Blast,Group B,0.9,1.1,200.0,60000,660,3.33,0.303,4.5,45
20,Creative 20,"video,tiktok",IN,tiktok,Android,Festive Sale,Group C,1.8,0.5,120.0,40000,200,3.0,0.6,3.0,40
21,Creative 21,"animation,snapchat",CA,snapchat,iOS,Winter Warmup,Group D,1.0,1.5,180.0,55000,825,3.27,0.218,4.0,45
22,Creative 22,"story,unity",AU,unity,Android,New Year Drive,Group E,1.4,1.0,160.0,45000,450,3.56,0.356,6.0,27
23,Creative 23,"concept,tiktok",US,google,iOS,Flash Sale,Group F,0.5,0.75,100.0,30000,200,2.5,0.3,4.0,25
24,Creative 24,"audio,snapchat",UK,tiktok,Android,Holiday Promo,Group G,0.6,0.8,120.0,35000,250,2.6,0.32,4.5,30
25,Creative 25,"video,unity",IN,snapchat,iOS,Weekend Special,Group H,0.7,0.85,140.0,40000,300,2.7,0.34,5.0,35
26,Creative 26,"animation,meta",CA,unity,Android,Back to School,Group I,0.8,0.9,160.0,45000,350,2.8,0.36,5.5,40
27,Creative 27,"story,google",AU,meta,iOS,Flashback Friday,Group J,0.9,0.95,180.0,50000,400,2.9,0.38,6.0,45
28,Creative 28,"concept,tiktok",DE,google,Android,Limited Offer,Group F,1.0,1.0,200.0,55000,450,3.0,0.4,6.5,50
29,Creative 29,"audio,snapchat",FR,tiktok,iOS,Flash Sale,Group G,1.1,1.05,220.0,60000,500,3.1,0.42,7.0,55
30,Creative 30,"video,unity",BR,snapchat,Android,Holiday Promo,Group H,1.2,1.1,240.0,65000,550,3.2,0.44,7.5,60
31,Creative 31,"animation,meta",JP,unity,iOS,Weekend Special,Group I,1.3,1.15,260.0,70000,600,3.3,0.46,8.0,65
32,Creative 32,"story,google",KR,meta,Android,Back to School,Group J,1.4,1.2,280.0,75000,650,3.4,0.48,8.5,70
